program,calendar_year,program_type,specialization_code,title,heading_text
ENSC,2026-2027,Major,1263,Environmental Sciences (ENSC),Major (1263): Environmental Sciences (ENSC)
ENSC,2026-2027,Honours,0589,Environmental Sciences (ENSC),Honours (0589): Environmental Sciences (ENSC)
