group_id,program,calendar_year,program_type,year_level,requirement_area,option_id,option_name,option_name_raw,theme,is_recommended,label,credits,rule_type,rule_value,rule_subject,include_pattern,exclude_pattern,rule_unit,course_code,source_text
ENSC_2026_2027_MAJOR_013,ENSC,2026-2027,Major,Second Year,Tools Elective,,,,,False,Tools Elective 8,3.0,choose_n,1,,,,,GEOS270,"Tools Elective 8 | Footnote 8: Tools Elective: One of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Must be completed before fourth year."
ENSC_2026_2027_MAJOR_013,ENSC,2026-2027,Major,Second Year,Tools Elective,,,,,False,Tools Elective 8,3.0,choose_n,1,,,,,GEOS309,"Tools Elective 8 | Footnote 8: Tools Elective: One of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Must be completed before fourth year."
ENSC_2026_2027_MAJOR_013,ENSC,2026-2027,Major,Second Year,Tools Elective,,,,,False,Tools Elective 8,3.0,choose_n,1,,,,,GEOS370,"Tools Elective 8 | Footnote 8: Tools Elective: One of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Must be completed before fourth year."
ENSC_2026_2027_MAJOR_013,ENSC,2026-2027,Major,Second Year,Tools Elective,,,,,False,Tools Elective 8,3.0,choose_n,1,,,,,GEOS373,"Tools Elective 8 | Footnote 8: Tools Elective: One of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Must be completed before fourth year."
ENSC_2026_2027_MAJOR_013,ENSC,2026-2027,Major,Second Year,Tools Elective,,,,,False,Tools Elective 8,3.0,choose_n,1,,,,,NRES241,"Tools Elective 8 | Footnote 8: Tools Elective: One of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Must be completed before fourth year."
ENSC_2026_2027_MAJOR_013,ENSC,2026-2027,Major,Second Year,Tools Elective,,,,,False,Tools Elective 8,3.0,choose_n,1,,,,,NRES340,"Tools Elective 8 | Footnote 8: Tools Elective: One of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Must be completed before fourth year."
ENSC_2026_2027_MAJOR_013,ENSC,2026-2027,Major,Second Year,Tools Elective,,,,,False,Tools Elective 8,3.0,choose_n,1,,,,,NRES341,"Tools Elective 8 | Footnote 8: Tools Elective: One of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Must be completed before fourth year."
ENSC_2026_2027_MAJOR_015,ENSC,2026-2027,Major,Second Year,Core Requirement,,,,,False,"One of STAT_V 200, 201, BIOL_V 300 11",3.0,choose_n,1,,,,,BIOL300,"One of STAT_V 200, 201, BIOL_V 300 11"
ENSC_2026_2027_MAJOR_015,ENSC,2026-2027,Major,Second Year,Core Requirement,,,,,False,"One of STAT_V 200, 201, BIOL_V 300 11",3.0,choose_n,1,,,,,STAT200,"One of STAT_V 200, 201, BIOL_V 300 11"
ENSC_2026_2027_MAJOR_015,ENSC,2026-2027,Major,Second Year,Core Requirement,,,,,False,"One of STAT_V 200, 201, BIOL_V 300 11",3.0,choose_n,1,,,,,STAT201,"One of STAT_V 200, 201, BIOL_V 300 11"
ENSC_2026_2027_MAJOR_018,ENSC,2026-2027,Major,Third and Fourth Years,Core Requirement,,,,,False,"ENVR_V 300, 305, 350, 400, 450",16.0,required_all,,,,,,ENVR300,"ENVR_V 300, 305, 350, 400, 450"
ENSC_2026_2027_MAJOR_018,ENSC,2026-2027,Major,Third and Fourth Years,Core Requirement,,,,,False,"ENVR_V 300, 305, 350, 400, 450",16.0,required_all,,,,,,ENVR305,"ENVR_V 300, 305, 350, 400, 450"
ENSC_2026_2027_MAJOR_018,ENSC,2026-2027,Major,Third and Fourth Years,Core Requirement,,,,,False,"ENVR_V 300, 305, 350, 400, 450",16.0,required_all,,,,,,ENVR350,"ENVR_V 300, 305, 350, 400, 450"
ENSC_2026_2027_MAJOR_018,ENSC,2026-2027,Major,Third and Fourth Years,Core Requirement,,,,,False,"ENVR_V 300, 305, 350, 400, 450",16.0,required_all,,,,,,ENVR400,"ENVR_V 300, 305, 350, 400, 450"
ENSC_2026_2027_MAJOR_018,ENSC,2026-2027,Major,Third and Fourth Years,Core Requirement,,,,,False,"ENVR_V 300, 305, 350, 400, 450",16.0,required_all,,,,,,ENVR450,"ENVR_V 300, 305, 350, 400, 450"
ENSC_2026_2027_MAJOR_019,ENSC,2026-2027,Major,Third and Fourth Years,Core Requirement,,,,,False,EOSC_V 345,3.0,required_course,,,,,,EOSC345,EOSC_V 345
ENSC_2026_2027_HONOURS_001,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,BIOL_V 121 1,3.0,required_course,,,,,,BIOL121,BIOL_V 121 1
ENSC_2026_2027_HONOURS_002,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,CHEM_V 121 (or 111 or 141) 2,4.0,choose_n,1,,,,,CHEM111,CHEM_V 121 (or 111 or 141) 2
ENSC_2026_2027_HONOURS_002,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,CHEM_V 121 (or 111 or 141) 2,4.0,choose_n,1,,,,,CHEM121,CHEM_V 121 (or 111 or 141) 2
ENSC_2026_2027_HONOURS_002,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,CHEM_V 121 (or 111 or 141) 2,4.0,choose_n,1,,,,,CHEM141,CHEM_V 121 (or 111 or 141) 2
ENSC_2026_2027_HONOURS_003,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,CHEM_V 123 2,4.0,required_course,,,,,,CHEM123,CHEM_V 123 2
ENSC_2026_2027_HONOURS_004,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,DSCI_V 100,3.0,required_course,,,,,,DSCI100,DSCI_V 100
ENSC_2026_2027_HONOURS_005,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,ENVR_V 100,3.0,required_course,,,,,,ENVR100,ENVR_V 100
ENSC_2026_2027_HONOURS_006,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3,3.0,choose_n,1,,,,,MATH100,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3
ENSC_2026_2027_HONOURS_006,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3,3.0,choose_n,1,,,,,MATH102,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3
ENSC_2026_2027_HONOURS_006,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3,3.0,choose_n,1,,,,,MATH104,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3
ENSC_2026_2027_HONOURS_006,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3,3.0,choose_n,1,,,,,MATH120,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3
ENSC_2026_2027_HONOURS_006,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3,3.0,choose_n,1,,,,,MATH180,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3
ENSC_2026_2027_HONOURS_006,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3,3.0,choose_n,1,,,,,MATH184,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3
ENSC_2026_2027_HONOURS_007,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,MATH_V 101 or 103 or 105 or 121 3,3.0,choose_n,1,,,,,MATH101,MATH_V 101 or 103 or 105 or 121 3
