group_id,program,calendar_year,program_type,year_level,requirement_area,option_id,option_name,option_name_raw,theme,is_recommended,label,credits,rule_type,rule_value,rule_subject,include_pattern,exclude_pattern,rule_unit,source_text
ENSC_2026_2027_MAJOR_AOC_ENVIRONMENTAL_ANALYTICS_MINIMUM_CREDITS,ENSC,2026-2027,Major,,Area of Concentration,ENVIRONMENTAL_ANALYTICS,Environmental Analytics,Environmental Analytics Area of Concentration,,False,Environmental Analytics Area of Concentration minimum credits,21.0,option_minimum_credits,,,,,credits,"Footnote 10: Students must take a minimum of 21 credits for Energy Transitions and Sustainability, Environmental Analytics, and Ecology and Conservation. Students must take a minimum of 22 credits for Land Air Water and Environmental Impacts on Human Health. For students completing Land Air Water or Environmental Impacts on Human health, electives credits will be reduced by 1 for a total of 7 in 2 nd year."
ENSC_2026_2027_MAJOR_AOC_ECOLOGY_CONSERVATION_MINIMUM_CREDITS,ENSC,2026-2027,Major,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,False,Ecology and Conservation Area of Concentration minimum credits,21.0,option_minimum_credits,,,,,credits,"Footnote 10: Students must take a minimum of 21 credits for Energy Transitions and Sustainability, Environmental Analytics, and Ecology and Conservation. Students must take a minimum of 22 credits for Land Air Water and Environmental Impacts on Human Health. For students completing Land Air Water or Environmental Impacts on Human health, electives credits will be reduced by 1 for a total of 7 in 2 nd year."
ENSC_2026_2027_MAJOR_AOC_LAND_AIR_WATER_MINIMUM_CREDITS,ENSC,2026-2027,Major,,Area of Concentration,LAND_AIR_WATER,Land Air Water,Land Air Water Area of Concentration,,False,Land Air Water Area of Concentration minimum credits,22.0,option_minimum_credits,,,,,credits,"Footnote 10: Students must take a minimum of 21 credits for Energy Transitions and Sustainability, Environmental Analytics, and Ecology and Conservation. Students must take a minimum of 22 credits for Land Air Water and Environmental Impacts on Human Health. For students completing Land Air Water or Environmental Impacts on Human health, electives credits will be reduced by 1 for a total of 7 in 2 nd year."
ENSC_2026_2027_MAJOR_AOC_ENVIRONMENTAL_IMPACTS_HUMAN_HEALTH_MINIMUM_CREDITS,ENSC,2026-2027,Major,,Area of Concentration,ENVIRONMENTAL_IMPACTS_HUMAN_HEALTH,Environmental Impacts on Human Health,Environmental Impacts on Human Health Area of Concentration,,False,Environmental Impacts on Human Health Area of Concentration minimum credits,22.0,option_minimum_credits,,,,,credits,"Footnote 10: Students must take a minimum of 21 credits for Energy Transitions and Sustainability, Environmental Analytics, and Ecology and Conservation. Students must take a minimum of 22 credits for Land Air Water and Environmental Impacts on Human Health. For students completing Land Air Water or Environmental Impacts on Human health, electives credits will be reduced by 1 for a total of 7 in 2 nd year."
ENSC_2026_2027_HONOURS_001,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,BIOL_V 121 1,3.0,required_course,,,,,,BIOL_V 121 1
ENSC_2026_2027_HONOURS_002,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,CHEM_V 121 (or 111 or 141) 2,4.0,choose_n,1,,,,,CHEM_V 121 (or 111 or 141) 2
ENSC_2026_2027_HONOURS_003,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,CHEM_V 123 2,4.0,required_course,,,,,,CHEM_V 123 2
ENSC_2026_2027_HONOURS_004,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,DSCI_V 100,3.0,required_course,,,,,,DSCI_V 100
ENSC_2026_2027_HONOURS_005,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,ENVR_V 100,3.0,required_course,,,,,,ENVR_V 100
ENSC_2026_2027_HONOURS_006,ENSC,2026-2027,Honours,First Year,Core Requirement,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3,3.0,choose_n,1,,,,,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3
