footnote_id,program,calendar_year,program_type,footnote_number,course_code
ENSC_2026_2027_MAJOR_FOOTNOTE_001,ENSC,2026-2027,Major,1,BIOL111
ENSC_2026_2027_MAJOR_FOOTNOTE_001,ENSC,2026-2027,Major,1,BIOL121
ENSC_2026_2027_MAJOR_FOOTNOTE_002,ENSC,2026-2027,Major,2,CHEM100
ENSC_2026_2027_MAJOR_FOOTNOTE_002,ENSC,2026-2027,Major,2,CHEM110
ENSC_2026_2027_MAJOR_FOOTNOTE_002,ENSC,2026-2027,Major,2,CHEM111
ENSC_2026_2027_MAJOR_FOOTNOTE_002,ENSC,2026-2027,Major,2,CHEM115
ENSC_2026_2027_MAJOR_FOOTNOTE_002,ENSC,2026-2027,Major,2,CHEM120
ENSC_2026_2027_MAJOR_FOOTNOTE_002,ENSC,2026-2027,Major,2,CHEM121
ENSC_2026_2027_MAJOR_FOOTNOTE_002,ENSC,2026-2027,Major,2,CHEM123
ENSC_2026_2027_MAJOR_FOOTNOTE_002,ENSC,2026-2027,Major,2,CHEM130
ENSC_2026_2027_MAJOR_FOOTNOTE_002,ENSC,2026-2027,Major,2,CHEM135
ENSC_2026_2027_MAJOR_FOOTNOTE_003,ENSC,2026-2027,Major,3,MATH110
ENSC_2026_2027_MAJOR_FOOTNOTE_007,ENSC,2026-2027,Major,7,ENVR200
ENSC_2026_2027_MAJOR_FOOTNOTE_008,ENSC,2026-2027,Major,8,ATSC303
ENSC_2026_2027_MAJOR_FOOTNOTE_008,ENSC,2026-2027,Major,8,CHEM211
ENSC_2026_2027_MAJOR_FOOTNOTE_008,ENSC,2026-2027,Major,8,CHEM311
ENSC_2026_2027_MAJOR_FOOTNOTE_008,ENSC,2026-2027,Major,8,EOSC211
ENSC_2026_2027_MAJOR_FOOTNOTE_008,ENSC,2026-2027,Major,8,GEOS270
ENSC_2026_2027_MAJOR_FOOTNOTE_008,ENSC,2026-2027,Major,8,GEOS309
ENSC_2026_2027_MAJOR_FOOTNOTE_008,ENSC,2026-2027,Major,8,GEOS370
ENSC_2026_2027_MAJOR_FOOTNOTE_008,ENSC,2026-2027,Major,8,GEOS373
ENSC_2026_2027_MAJOR_FOOTNOTE_008,ENSC,2026-2027,Major,8,NRES241
ENSC_2026_2027_MAJOR_FOOTNOTE_008,ENSC,2026-2027,Major,8,NRES340
ENSC_2026_2027_MAJOR_FOOTNOTE_008,ENSC,2026-2027,Major,8,NRES341
ENSC_2026_2027_MAJOR_FOOTNOTE_011,ENSC,2026-2027,Major,11,BIOL300
ENSC_2026_2027_MAJOR_FOOTNOTE_011,ENSC,2026-2027,Major,11,STAT200
ENSC_2026_2027_MAJOR_FOOTNOTE_011,ENSC,2026-2027,Major,11,STAT201
ENSC_2026_2027_HONOURS_FOOTNOTE_001,ENSC,2026-2027,Honours,1,BIOL111
ENSC_2026_2027_HONOURS_FOOTNOTE_001,ENSC,2026-2027,Honours,1,BIOL121
ENSC_2026_2027_HONOURS_FOOTNOTE_001,ENSC,2026-2027,Honours,1,BIOL180
ENSC_2026_2027_HONOURS_FOOTNOTE_002,ENSC,2026-2027,Honours,2,CHEM100
ENSC_2026_2027_HONOURS_FOOTNOTE_002,ENSC,2026-2027,Honours,2,CHEM110
ENSC_2026_2027_HONOURS_FOOTNOTE_002,ENSC,2026-2027,Honours,2,CHEM111
ENSC_2026_2027_HONOURS_FOOTNOTE_002,ENSC,2026-2027,Honours,2,CHEM115
ENSC_2026_2027_HONOURS_FOOTNOTE_002,ENSC,2026-2027,Honours,2,CHEM120
ENSC_2026_2027_HONOURS_FOOTNOTE_002,ENSC,2026-2027,Honours,2,CHEM121
ENSC_2026_2027_HONOURS_FOOTNOTE_002,ENSC,2026-2027,Honours,2,CHEM123
ENSC_2026_2027_HONOURS_FOOTNOTE_002,ENSC,2026-2027,Honours,2,CHEM130
ENSC_2026_2027_HONOURS_FOOTNOTE_002,ENSC,2026-2027,Honours,2,CHEM135
ENSC_2026_2027_HONOURS_FOOTNOTE_003,ENSC,2026-2027,Honours,3,MATH110
ENSC_2026_2027_HONOURS_FOOTNOTE_007,ENSC,2026-2027,Honours,7,ENVR200
ENSC_2026_2027_HONOURS_FOOTNOTE_008,ENSC,2026-2027,Honours,8,BIOL300
ENSC_2026_2027_HONOURS_FOOTNOTE_008,ENSC,2026-2027,Honours,8,STAT200
ENSC_2026_2027_HONOURS_FOOTNOTE_008,ENSC,2026-2027,Honours,8,STAT201
ENSC_2026_2027_HONOURS_FOOTNOTE_011,ENSC,2026-2027,Honours,11,ATSC303
ENSC_2026_2027_HONOURS_FOOTNOTE_011,ENSC,2026-2027,Honours,11,CHEM211
ENSC_2026_2027_HONOURS_FOOTNOTE_011,ENSC,2026-2027,Honours,11,CHEM311
ENSC_2026_2027_HONOURS_FOOTNOTE_011,ENSC,2026-2027,Honours,11,EOSC211
ENSC_2026_2027_HONOURS_FOOTNOTE_011,ENSC,2026-2027,Honours,11,GEOS270
ENSC_2026_2027_HONOURS_FOOTNOTE_011,ENSC,2026-2027,Honours,11,GEOS309
ENSC_2026_2027_HONOURS_FOOTNOTE_011,ENSC,2026-2027,Honours,11,GEOS370
ENSC_2026_2027_HONOURS_FOOTNOTE_011,ENSC,2026-2027,Honours,11,GEOS373
ENSC_2026_2027_HONOURS_FOOTNOTE_011,ENSC,2026-2027,Honours,11,NRES241
ENSC_2026_2027_HONOURS_FOOTNOTE_011,ENSC,2026-2027,Honours,11,NRES340
ENSC_2026_2027_HONOURS_FOOTNOTE_011,ENSC,2026-2027,Honours,11,NRES341
