program,calendar_year,requirement_id,requirement_name
ENSC,2026-2027,ENSC_2026_2027_MAJOR_001,BIOL_V 121 1
ENSC,2026-2027,ENSC_2026_2027_MAJOR_002,ENVR_V 100
ENSC,2026-2027,ENSC_2026_2027_MAJOR_003,CHEM_V 121 (or 111 or 141) 2
ENSC,2026-2027,ENSC_2026_2027_MAJOR_004,SCIE_V 113
ENSC,2026-2027,ENSC_2026_2027_MAJOR_005,DSCI_V 100
ENSC,2026-2027,ENSC_2026_2027_MAJOR_006,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3
ENSC,2026-2027,ENSC_2026_2027_MAJOR_007,MATH_V 101 or 103 or 105 or 121 3
ENSC,2026-2027,ENSC_2026_2027_MAJOR_008,PHYS_V 100-level 4
ENSC,2026-2027,ENSC_2026_2027_MAJOR_009,"Electives 5,6"
ENSC,2026-2027,ENSC_2026_2027_MAJOR_010_TOTAL,Total Credits
ENSC,2026-2027,ENSC_2026_2027_MAJOR_011,"ENVR_V 200 7 , 205, 240"
ENSC,2026-2027,ENSC_2026_2027_MAJOR_012,EOSC_V 340
ENSC,2026-2027,ENSC_2026_2027_MAJOR_013,Tools Elective 8
ENSC,2026-2027,ENSC_2026_2027_MAJOR_014,"Area of Concentration 9,10"
ENSC,2026-2027,ENSC_2026_2027_MAJOR_015,"One of STAT_V 200, 201, BIOL_V 300 11"
ENSC,2026-2027,ENSC_2026_2027_MAJOR_016,"Electives 5,6"
ENSC,2026-2027,ENSC_2026_2027_MAJOR_017_TOTAL,Total Credits
ENSC,2026-2027,ENSC_2026_2027_MAJOR_018,"ENVR_V 300, 305, 350, 400, 450"
ENSC,2026-2027,ENSC_2026_2027_MAJOR_019,EOSC_V 345
ENSC,2026-2027,ENSC_2026_2027_MAJOR_020,Complementary Studies 12
ENSC,2026-2027,ENSC_2026_2027_MAJOR_021,"Electives 5,6"
ENSC,2026-2027,ENSC_2026_2027_MAJOR_022,Area of Concentration 9
ENSC,2026-2027,ENSC_2026_2027_MAJOR_023_TOTAL,Total Credits
ENSC,2026-2027,ENSC_2026_2027_MAJOR_024_MIN_DEGREE,Minimum Credits for Degree
ENSC,2026-2027,ENSC_2026_2027_HONOURS_001,BIOL_V 121 1
ENSC,2026-2027,ENSC_2026_2027_HONOURS_002,CHEM_V 121 (or 111 or 141) 2
ENSC,2026-2027,ENSC_2026_2027_HONOURS_003,CHEM_V 123 2
ENSC,2026-2027,ENSC_2026_2027_HONOURS_004,DSCI_V 100
ENSC,2026-2027,ENSC_2026_2027_HONOURS_005,ENVR_V 100
ENSC,2026-2027,ENSC_2026_2027_HONOURS_006,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3
ENSC,2026-2027,ENSC_2026_2027_HONOURS_007,MATH_V 101 or 103 or 105 or 121 3
ENSC,2026-2027,ENSC_2026_2027_HONOURS_008,PHYS_V 100-level 4
ENSC,2026-2027,ENSC_2026_2027_HONOURS_009,SCIE_V 113
ENSC,2026-2027,ENSC_2026_2027_HONOURS_010,"Electives 5,6"
ENSC,2026-2027,ENSC_2026_2027_HONOURS_011_TOTAL,Total Credits
ENSC,2026-2027,ENSC_2026_2027_HONOURS_012,One 200-level BIOL_V OR CHEM_V
ENSC,2026-2027,ENSC_2026_2027_HONOURS_013,"ENVR_V 200 7 , 205, 240"
ENSC,2026-2027,ENSC_2026_2027_HONOURS_014,EOSC_V 340
ENSC,2026-2027,ENSC_2026_2027_HONOURS_015,"One of STAT_V 200, 201, BIOL_V 300 8"
ENSC,2026-2027,ENSC_2026_2027_HONOURS_016,"Area of Concentration 9,10"
ENSC,2026-2027,ENSC_2026_2027_HONOURS_017,Tools Electives 11
ENSC,2026-2027,ENSC_2026_2027_HONOURS_018,"Electives 5,6"
ENSC,2026-2027,ENSC_2026_2027_HONOURS_019_TOTAL,Total Credits
ENSC,2026-2027,ENSC_2026_2027_HONOURS_020,"ENVR_V 300, 305, 350, 449, 450"
ENSC,2026-2027,ENSC_2026_2027_HONOURS_021,"One of ENVR_V 410, 420, 430, 440"
ENSC,2026-2027,ENSC_2026_2027_HONOURS_022,EOSC_V 345
ENSC,2026-2027,ENSC_2026_2027_HONOURS_023,Complementary Studies 12
ENSC,2026-2027,ENSC_2026_2027_HONOURS_024,Tools' Electives 11
ENSC,2026-2027,ENSC_2026_2027_HONOURS_025,"Electives 5,6"
ENSC,2026-2027,ENSC_2026_2027_HONOURS_026,Area of Concentration 9
ENSC,2026-2027,ENSC_2026_2027_HONOURS_027_TOTAL,Total Credits
ENSC,2026-2027,ENSC_2026_2027_HONOURS_028_MIN_DEGREE,Minimum Credits for Degree
