group_id,program,calendar_year,program_type,year_level,concentration_id,concentration_name,concentration_name_raw,aoc_category,is_recommended,label,credits,rule_type,rule_value,course_code
ENSC_2024_2025_MAJOR_023,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,"One of ENVR_V 410, 420, 430, 440",3.0,choose_n,1,ENVR410
ENSC_2024_2025_MAJOR_023,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,"One of ENVR_V 410, 420, 430, 440",3.0,choose_n,1,ENVR420
ENSC_2024_2025_MAJOR_023,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,"One of ENVR_V 410, 420, 430, 440",3.0,choose_n,1,ENVR430
ENSC_2024_2025_MAJOR_023,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,"One of ENVR_V 410, 420, 430, 440",3.0,choose_n,1,ENVR440
ENSC_2024_2025_MAJOR_024,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,'Tools' Elective 11,3.0,choose_n,1,ATSC303
ENSC_2024_2025_MAJOR_024,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,'Tools' Elective 11,3.0,choose_n,1,CHEM211
ENSC_2024_2025_MAJOR_024,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,'Tools' Elective 11,3.0,choose_n,1,CHEM311
ENSC_2024_2025_MAJOR_024,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,'Tools' Elective 11,3.0,choose_n,1,CONS340
ENSC_2024_2025_MAJOR_024,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,'Tools' Elective 11,3.0,choose_n,1,EOSC211
ENSC_2024_2025_MAJOR_024,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,'Tools' Elective 11,3.0,choose_n,1,FRST443
ENSC_2024_2025_MAJOR_024,ENSC,2024-2025,Major,Third and Fourth Years,,,,,False,'Tools' Elective 11,3.0,choose_n,1,GEOB270
