footnote_id,program,calendar_year,program_type,footnote_number,course_code
ENSC_2024_2025_HONOURS_FOOTNOTE_009,ENSC,2024-2025,Honours,9,STAT200
ENSC_2024_2025_HONOURS_FOOTNOTE_009,ENSC,2024-2025,Honours,9,STAT201
ENSC_2024_2025_HONOURS_FOOTNOTE_010,ENSC,2024-2025,Honours,10,BIOL204
ENSC_2024_2025_HONOURS_FOOTNOTE_010,ENSC,2024-2025,Honours,10,BIOL205
ENSC_2024_2025_HONOURS_FOOTNOTE_010,ENSC,2024-2025,Honours,10,BIOL209
ENSC_2024_2025_HONOURS_FOOTNOTE_010,ENSC,2024-2025,Honours,10,BIOL210
ENSC_2024_2025_HONOURS_FOOTNOTE_011,ENSC,2024-2025,Honours,11,ATSC303
ENSC_2024_2025_HONOURS_FOOTNOTE_011,ENSC,2024-2025,Honours,11,CHEM211
ENSC_2024_2025_HONOURS_FOOTNOTE_011,ENSC,2024-2025,Honours,11,CHEM311
ENSC_2024_2025_HONOURS_FOOTNOTE_011,ENSC,2024-2025,Honours,11,CONS340
ENSC_2024_2025_HONOURS_FOOTNOTE_011,ENSC,2024-2025,Honours,11,EOSC211
ENSC_2024_2025_HONOURS_FOOTNOTE_011,ENSC,2024-2025,Honours,11,FRST443
ENSC_2024_2025_HONOURS_FOOTNOTE_011,ENSC,2024-2025,Honours,11,GEOB270
ENSC_2024_2025_HONOURS_FOOTNOTE_011,ENSC,2024-2025,Honours,11,GEOB309
ENSC_2024_2025_HONOURS_FOOTNOTE_011,ENSC,2024-2025,Honours,11,GEOB370
ENSC_2024_2025_HONOURS_FOOTNOTE_011,ENSC,2024-2025,Honours,11,GEOB373
ENSC_2024_2025_HONOURS_FOOTNOTE_011,ENSC,2024-2025,Honours,11,GEOS270
ENSC_2024_2025_HONOURS_FOOTNOTE_011,ENSC,2024-2025,Honours,11,GEOS309
ENSC_2024_2025_HONOURS_FOOTNOTE_011,ENSC,2024-2025,Honours,11,GEOS370
ENSC_2024_2025_HONOURS_FOOTNOTE_011,ENSC,2024-2025,Honours,11,GEOS373
ENSC_2024_2025_HONOURS_FOOTNOTE_011,ENSC,2024-2025,Honours,11,ISCI422
