group_id,program,calendar_year,program_type,year_level,requirement_area,option_id,option_name,option_name_raw,theme,is_recommended,label,credits,rule_type,rule_value,rule_subject,include_pattern,exclude_pattern,rule_unit,source_text
ENSC_2024_2025_MAJOR_018,ENSC,2024-2025,Major,Second Year,Electives,,,,,False,"Electives 6,7,8,10",9.0,elective_credits,,,,,,"Electives 6,7,8,10"
ENSC_2024_2025_MAJOR_019_TOTAL,ENSC,2024-2025,Major,Second Year,Credit Total,,,,,False,Total Credits,30.0,year_total_credits,,,,,,Total Credits
ENSC_2024_2025_MAJOR_020,ENSC,2024-2025,Major,Third and Fourth Years,Core Requirement,,,,,False,BIOL_V 306,3.0,required_course,,,,,,BIOL_V 306
ENSC_2024_2025_MAJOR_021,ENSC,2024-2025,Major,Third and Fourth Years,Core Requirement,,,,,False,"ENVR_V 300, 400",9.0,required_all,,,,,,"ENVR_V 300, 400"
ENSC_2024_2025_MAJOR_022,ENSC,2024-2025,Major,Third and Fourth Years,Core Requirement,,,,,False,EOSC_V 372,3.0,required_course,,,,,,EOSC_V 372
ENSC_2024_2025_MAJOR_023,ENSC,2024-2025,Major,Third and Fourth Years,Core Requirement,,,,,False,"One of ENVR_V 410, 420, 430, 440",3.0,choose_n,1,,,,,"One of ENVR_V 410, 420, 430, 440"
ENSC_2024_2025_MAJOR_024,ENSC,2024-2025,Major,Third and Fourth Years,Tools Elective,,,,,False,'Tools' Elective 11,3.0,choose_n,1,,,,,"'Tools' Elective 11 | Footnote 11: ‘Tools’ Elective: One of ATSC_V 303, CHEM_V 311 (requires CHEM_V 211), CONS_V 340, EOSC_V 211, FRST_V 443, GEOS_V (or GEOB_V) 270, 309, 370, 373, or ISCI_V 422. Must be completed before fourth year."
ENSC_2024_2025_MAJOR_025,ENSC,2024-2025,Major,Third and Fourth Years,Electives,,,,,False,"Electives 6,7",24.0,elective_credits,,,,,,"Electives 6,7"
ENSC_2024_2025_MAJOR_026,ENSC,2024-2025,Major,Third and Fourth Years,Area of Concentration,,,,,False,Area of Concentration 12,15.0,area_of_concentration_credits,,,,,,Area of Concentration 12
ENSC_2024_2025_MAJOR_027_TOTAL,ENSC,2024-2025,Major,Third and Fourth Years,Credit Total,,,,,False,Total Credits,60.0,year_total_credits,,,,,,Total Credits
ENSC_2024_2025_MAJOR_028_MIN_DEGREE,ENSC,2024-2025,Major,,Degree Minimum,,,,,False,Minimum Credits for Degree,120.0,minimum_degree_credits,,,,,,Minimum Credits for Degree
ENSC_2024_2025_HONOURS_001,ENSC,2024-2025,Honours,First Year,Core Requirement,,,,,False,BIOL_V 121 1,3.0,required_course,,,,,,BIOL_V 121 1
ENSC_2024_2025_HONOURS_002,ENSC,2024-2025,Honours,First Year,Core Requirement,,,,,False,BIOL_V 180 (or 140) 1,2.0,required_all,,,,,,BIOL_V 180 (or 140) 1
ENSC_2024_2025_HONOURS_003,ENSC,2024-2025,Honours,First Year,Core Requirement,,,,,False,CHEM_V 121 (or 111 or 141) 2,4.0,choose_n,1,,,,,CHEM_V 121 (or 111 or 141) 2
ENSC_2024_2025_HONOURS_004,ENSC,2024-2025,Honours,First Year,Core Requirement,,,,,False,CHEM_V 123 2,4.0,required_course,,,,,,CHEM_V 123 2
ENSC_2024_2025_HONOURS_005,ENSC,2024-2025,Honours,First Year,Communication Requirement,,,,,False,Communication Requirement 3,3.0,unknown,,,,,,Communication Requirement 3
ENSC_2024_2025_HONOURS_006,ENSC,2024-2025,Honours,First Year,Core Requirement,,,,,False,DSCI_V 100,3.0,required_course,,,,,,DSCI_V 100
ENSC_2024_2025_HONOURS_007,ENSC,2024-2025,Honours,First Year,Core Requirement,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,,,,,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4
ENSC_2024_2025_HONOURS_008,ENSC,2024-2025,Honours,First Year,Core Requirement,,,,,False,MATH_V 101 or 103 or 105 or 121 4,3.0,choose_n,1,,,,,MATH_V 101 or 103 or 105 or 121 4
ENSC_2024_2025_HONOURS_009,ENSC,2024-2025,Honours,First Year,Core Requirement,,,,,False,PHYS_V 100-level 5,3.0,level_requirement,,PHYS,100-level,PHYS100;PHYS170,credits,"PHYS_V 100-level 5 | Footnote 5: Chosen from 100-level PHYS_V courses, excluding PHYS_V 100 and PHYS_V 170. Students without Physics 12 must replace 3 credits of electives with PHYS_V 100 before taking any other 100-level PHYS_V course. Students may defer taking any other 100-level PHYS_V course to second year."
ENSC_2024_2025_HONOURS_010,ENSC,2024-2025,Honours,First Year,Electives,,,,,False,"Electives 6,7",5.0,elective_credits,,,,,,"Electives 6,7"
ENSC_2024_2025_HONOURS_011_TOTAL,ENSC,2024-2025,Honours,First Year,Credit Total,,,,,False,Total Credits,33.0,year_total_credits,,,,,,Total Credits
ENSC_2024_2025_HONOURS_012,ENSC,2024-2025,Honours,Second Year,Core Requirement,,,,,False,APBI_V 200,3.0,required_course,,,,,,APBI_V 200
ENSC_2024_2025_HONOURS_013,ENSC,2024-2025,Honours,Second Year,Core Requirement,,,,,False,ATSC_V 201,3.0,required_course,,,,,,ATSC_V 201
ENSC_2024_2025_HONOURS_014,ENSC,2024-2025,Honours,Second Year,Core Requirement,,,,,False,BIOL_V 230,3.0,required_course,,,,,,BIOL_V 230
ENSC_2024_2025_HONOURS_015,ENSC,2024-2025,Honours,Second Year,Core Requirement,,,,,False,"Two of CHEM_V 205, 208, 210, 211, 233 8",6.0,choose_n,2,,,,,"Two of CHEM_V 205, 208, 210, 211, 233 8"
ENSC_2024_2025_HONOURS_016,ENSC,2024-2025,Honours,Second Year,Communication Requirement,,,,,False,Communication Requirement 3,3.0,unknown,,,,,,Communication Requirement 3
ENSC_2024_2025_HONOURS_017,ENSC,2024-2025,Honours,Second Year,Core Requirement,,,,,False,ENVR_V 200,3.0,required_course,,,,,,ENVR_V 200
ENSC_2024_2025_HONOURS_018,ENSC,2024-2025,Honours,Second Year,Core Requirement,,,,,False,"One of MATH_V 200, 221, STAT_V 200, 201, BIOL_V 300 9",3.0,choose_n,1,,,,,"One of MATH_V 200, 221, STAT_V 200, 201, BIOL_V 300 9"
ENSC_2024_2025_HONOURS_019,ENSC,2024-2025,Honours,Second Year,Electives,,,,,False,"Electives 6,7,8,10",9.0,elective_credits,,,,,,"Electives 6,7,8,10"
ENSC_2024_2025_HONOURS_020_TOTAL,ENSC,2024-2025,Honours,Second Year,Credit Total,,,,,False,Total Credits,33.0,year_total_credits,,,,,,Total Credits
ENSC_2024_2025_HONOURS_021,ENSC,2024-2025,Honours,Third and Fourth Years,Core Requirement,,,,,False,BIOL_V 306,3.0,required_course,,,,,,BIOL_V 306
ENSC_2024_2025_HONOURS_022,ENSC,2024-2025,Honours,Third and Fourth Years,Core Requirement,,,,,False,"CHEM_V 301, 302",6.0,required_all,,,,,,"CHEM_V 301, 302"
ENSC_2024_2025_HONOURS_023,ENSC,2024-2025,Honours,Third and Fourth Years,Core Requirement,,,,,False,"ENVR_V 300, 449",9.0,required_all,,,,,,"ENVR_V 300, 449"
ENSC_2024_2025_HONOURS_024,ENSC,2024-2025,Honours,Third and Fourth Years,Core Requirement,,,,,False,"EOSC_V 372, 373",6.0,required_all,,,,,,"EOSC_V 372, 373"
ENSC_2024_2025_HONOURS_025,ENSC,2024-2025,Honours,Third and Fourth Years,Core Requirement,,,,,False,"Two of ENVR_V 410, 420, 430, 440",6.0,choose_n,2,,,,,"Two of ENVR_V 410, 420, 430, 440"
ENSC_2024_2025_HONOURS_026,ENSC,2024-2025,Honours,Third and Fourth Years,Tools Elective,,,,,False,'Tools' Electives 11,6.0,choose_n,2,,,,,"'Tools' Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 311 (requires CHEM_V 211), CONS_V 340, EOSC_V 211, FRST_V 443, GEOS_V (or GEOB_V) 270, 309, 370, 373 or ISCI_V 422. Consult credit exclusion list before choosing 'Tools' electives. Must be completed before fourth year."
ENSC_2024_2025_HONOURS_027,ENSC,2024-2025,Honours,Third and Fourth Years,Electives,,,,,False,"Electives 6,7",12.0,elective_credits,,,,,,"Electives 6,7"
ENSC_2024_2025_HONOURS_028,ENSC,2024-2025,Honours,Third and Fourth Years,Area of Concentration,,,,,False,Area of Concentration 12,18.0,area_of_concentration_credits,,,,,,Area of Concentration 12
ENSC_2024_2025_HONOURS_029_TOTAL,ENSC,2024-2025,Honours,Third and Fourth Years,Credit Total,,,,,False,Total Credits,66.0,year_total_credits,,,,,,Total Credits
ENSC_2024_2025_HONOURS_030_MIN_DEGREE,ENSC,2024-2025,Honours,,Degree Minimum,,,,,False,Minimum Credits for Degree,132.0,minimum_degree_credits,,,,,,Minimum Credits for Degree
ENSC_2024_2025_MAJOR_AOC_MINIMUM_CREDITS,ENSC,2024-2025,Major,,Area of Concentration,,,,,False,Area of Concentration minimum credits,15.0,option_minimum_credits,,,,,,Students must select one of the following three Areas of Concentration. A minimum of 15 credits must be taken from the Area of Concentration courses listed below and these courses cannot be used to fulfill any other requirements of the specialization.
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_001,ENSC,2024-2025,Major,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",,False,Area of Concentration category minimum,,theme_minimum,3,,,,,Students in this Area of Concentration must include at least one course in at least three of the four following categories:
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_002,ENSC,2024-2025,Major,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Land,False,"Land: APBI_V 200; EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408",,choose_n,1,,,,,"Land: APBI_V 200; EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408"
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_003,ENSC,2024-2025,Major,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Air,False,"Air: ATSC_V 301, 303; GEOS_V (or GEOB_V) 300, 304, 402; CHEM_V 302",,choose_n,1,,,,,"Air: ATSC_V 301, 303; GEOS_V (or GEOB_V) 300, 304, 402; CHEM_V 302"
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_004,ENSC,2024-2025,Major,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Terrestrial Water,False,"Terrestrial Water: CHEM_V 301; EOSC_V 325, 428, 429, 430, 431; ENVR_V 420; GEOS_V (or GEOB_V) 305, 403, 415",,choose_n,1,,,,,"Terrestrial Water: CHEM_V 301; EOSC_V 325, 428, 429, 430, 431; ENVR_V 420; GEOS_V (or GEOB_V) 305, 403, 415"
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_005,ENSC,2024-2025,Major,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Oceans,False,"Oceans: EOSC_V 373, 471, 472, 473, 474, 475, 478",,choose_n,1,,,,,"Oceans: EOSC_V 373, 471, 472, 473, 474, 475, 478"
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_006,ENSC,2024-2025,Major,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",,True,"EOSC_V 220, 250, 340, 429, 431",,recommended_course_list,,,,,,"EOSC_V 220, 250, 340, 429, 431"
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_007,ENSC,2024-2025,Major,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",,True,"GEOS_V (or GEOB_V) 207, 308, 373, 400, 401, 407",,recommended_course_list,,,,,,"GEOS_V (or GEOB_V) 207, 308, 373, 400, 401, 407"
ENSC_2024_2025_MAJOR_AOC_ECOLOGY_CONSERVATION_001,ENSC,2024-2025,Major,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,False,"one of BIOL_V 204, 205, 209, 210,",,choose_n,1,,,,,"Students in this Area of Concentration must include one of BIOL_V 204, 205, 209, 210, and at least two of BIOL_V 301, 314, 336, 402, 404, 406, 408, 416, 418, 420, 424; CONS_V 310; GEOS_V (or GEOB_V) 307; UFOR_V 403."
ENSC_2024_2025_MAJOR_AOC_ECOLOGY_CONSERVATION_002,ENSC,2024-2025,Major,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,False,"at least two of BIOL_V 301, 314, 336, 402, 404, 406, 408, 416, 418, 420, 424; CONS_V 310; GEOS_V (or GEOB_V) 307; UFOR_V 403",,choose_n,2,,,,,"Students in this Area of Concentration must include one of BIOL_V 204, 205, 209, 210, and at least two of BIOL_V 301, 314, 336, 402, 404, 406, 408, 416, 418, 420, 424; CONS_V 310; GEOS_V (or GEOB_V) 307; UFOR_V 403."
ENSC_2024_2025_MAJOR_AOC_ECOLOGY_CONSERVATION_003,ENSC,2024-2025,Major,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,True,"BIOL_V 317, 320, 321, 322, 323, 324, 327, 328, 332, 343, 409, 411, 412, 413, 417, 427, 428, 434",,recommended_course_list,,,,,,"BIOL_V 317, 320, 321, 322, 323, 324, 327, 328, 332, 343, 409, 411, 412, 413, 417, 427, 428, 434"
ENSC_2024_2025_MAJOR_AOC_ECOLOGY_CONSERVATION_004,ENSC,2024-2025,Major,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,True,"EOSC_V 373, 470, 474, 475, 478",,recommended_course_list,,,,,,"EOSC_V 373, 470, 474, 475, 478"
ENSC_2024_2025_MAJOR_AOC_ECOLOGY_CONSERVATION_005,ENSC,2024-2025,Major,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,True,ENVR_V 430,,recommended_course_list,,,,,,ENVR_V 430
ENSC_2024_2025_MAJOR_AOC_ECOLOGY_CONSERVATION_006,ENSC,2024-2025,Major,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,True,"MRNE_V 415, 425, 437",,recommended_course_list,,,,,,"MRNE_V 415, 425, 437"
ENSC_2024_2025_MAJOR_AOC_ECOLOGY_CONSERVATION_007,ENSC,2024-2025,Major,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,True,MICB_V 301,,recommended_course_list,,,,,,MICB_V 301
ENSC_2024_2025_MAJOR_AOC_SUSTAINABILITY_SCIENCE_001,ENSC,2024-2025,Major,,Area of Concentration,SUSTAINABILITY_SCIENCE,Sustainability Science,Sustainability Science Area of Concentration,,False,ASIC_V 220,,required_course,,,,,,ASIC_V 220
ENSC_2024_2025_MAJOR_AOC_SUSTAINABILITY_SCIENCE_002,ENSC,2024-2025,Major,,Area of Concentration,SUSTAINABILITY_SCIENCE,Sustainability Science,Sustainability Science Area of Concentration,,False,ENVR_V 440,,required_course,,,,,,ENVR_V 440
ENSC_2024_2025_MAJOR_AOC_SUSTAINABILITY_SCIENCE_003,ENSC,2024-2025,Major,,Area of Concentration,SUSTAINABILITY_SCIENCE,Sustainability Science,Sustainability Science Area of Concentration,,False,"two of ENVR_V 410, 420, 430; BIOL_V 314, 416, 420; CHEM_V 341; EOSC_V 340, 474; GEOS_V (or GEOB_V) 402; SCIE_V 420, and",,choose_n,2,,,,,"two of ENVR_V 410, 420, 430; BIOL_V 314, 416, 420; CHEM_V 341; EOSC_V 340, 474; GEOS_V (or GEOB_V) 402; SCIE_V 420, and"
ENSC_2024_2025_MAJOR_AOC_SUSTAINABILITY_SCIENCE_004,ENSC,2024-2025,Major,,Area of Concentration,SUSTAINABILITY_SCIENCE,Sustainability Science,Sustainability Science Area of Concentration,,False,"one of ARCL_V 309; CONS_V 330, 425; FRST_V 415; GEOG_V 310; LFS_V 450; POLI_V 351; PSYC_V 421; UFOR_V 403 or APBI_V 423.",,choose_n,1,,,,,"one of ARCL_V 309; CONS_V 330, 425; FRST_V 415; GEOG_V 310; LFS_V 450; POLI_V 351; PSYC_V 421; UFOR_V 403 or APBI_V 423."
ENSC_2024_2025_HONOURS_AOC_MINIMUM_CREDITS,ENSC,2024-2025,Honours,,Area of Concentration,,,,,False,Area of Concentration minimum credits,18.0,option_minimum_credits,,,,,,Students must select one of the following three Areas of Concentration. A minimum of 18 credits must be taken from the Area of Concentration courses listed below and these courses cannot be used to fulfill any other requirements of the specialization.
ENSC_2024_2025_HONOURS_AOC_LAND_AIR_WATER_001,ENSC,2024-2025,Honours,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",,False,Area of Concentration category minimum,,theme_minimum,4,,,,,Students in this Area of Concentration must include at least one course in each of the four following categories:
ENSC_2024_2025_HONOURS_AOC_LAND_AIR_WATER_002,ENSC,2024-2025,Honours,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Land,False,"Land: EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408",,choose_n,1,,,,,"Land: EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408"
ENSC_2024_2025_HONOURS_AOC_LAND_AIR_WATER_003,ENSC,2024-2025,Honours,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Air,False,"Air: ATSC_V 301, 303; GEOS_V (or GEOB_V) 300, 304, 402",,choose_n,1,,,,,"Air: ATSC_V 301, 303; GEOS_V (or GEOB_V) 300, 304, 402"
ENSC_2024_2025_HONOURS_AOC_LAND_AIR_WATER_004,ENSC,2024-2025,Honours,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Terrestrial Water,False,"Terrestrial Water: EOSC_V 325, 428, 429, 430, 431; ENVR_V 420; GEOS_V (or GEOB_V) 305, 403, GEOS_V 415",,choose_n,1,,,,,"Terrestrial Water: EOSC_V 325, 428, 429, 430, 431; ENVR_V 420; GEOS_V (or GEOB_V) 305, 403, GEOS_V 415"
ENSC_2024_2025_HONOURS_AOC_LAND_AIR_WATER_005,ENSC,2024-2025,Honours,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Oceans,False,"Oceans: EOSC_V 471, 472, 473, 474, 475, 478",,choose_n,1,,,,,"Oceans: EOSC_V 471, 472, 473, 474, 475, 478"
ENSC_2024_2025_HONOURS_AOC_LAND_AIR_WATER_006,ENSC,2024-2025,Honours,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",,True,"EOSC_V 220, 250, 340, 429, 431",,recommended_course_list,,,,,,"EOSC_V 220, 250, 340, 429, 431"
ENSC_2024_2025_HONOURS_AOC_LAND_AIR_WATER_007,ENSC,2024-2025,Honours,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",,True,"GEOS_V (or GEOB_V) 207, 308, 373, 400, 401, 407",,recommended_course_list,,,,,,"GEOS_V (or GEOB_V) 207, 308, 373, 400, 401, 407"
ENSC_2024_2025_HONOURS_AOC_ECOLOGY_CONSERVATION_001,ENSC,2024-2025,Honours,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,False,"one of BIOL_V 204, 205, 209, 210",,choose_n,1,,,,,"Students in this Area of Concentration must include one of BIOL_V 204, 205, 209, 210 and at least two of BIOL_V 301, 314, 336, 402, 404, 406, 408, 416, 418, 420, 424; CONS_V 310; GEOS_V (or GEOB_V) 307; UFOR_V 403."
ENSC_2024_2025_HONOURS_AOC_ECOLOGY_CONSERVATION_002,ENSC,2024-2025,Honours,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,False,"at least two of BIOL_V 301, 314, 336, 402, 404, 406, 408, 416, 418, 420, 424; CONS_V 310; GEOS_V (or GEOB_V) 307; UFOR_V 403",,choose_n,2,,,,,"Students in this Area of Concentration must include one of BIOL_V 204, 205, 209, 210 and at least two of BIOL_V 301, 314, 336, 402, 404, 406, 408, 416, 418, 420, 424; CONS_V 310; GEOS_V (or GEOB_V) 307; UFOR_V 403."
ENSC_2024_2025_HONOURS_AOC_ECOLOGY_CONSERVATION_003,ENSC,2024-2025,Honours,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,True,"BIOL_V 317, 320, 321, 322, 323, 324, 327, 328, 332, 343, 409, 411, 412, 413, 417, 427, 428, 434",,recommended_course_list,,,,,,"BIOL_V 317, 320, 321, 322, 323, 324, 327, 328, 332, 343, 409, 411, 412, 413, 417, 427, 428, 434"
ENSC_2024_2025_HONOURS_AOC_ECOLOGY_CONSERVATION_004,ENSC,2024-2025,Honours,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,True,"EOSC_V 470, 474, 475, 478",,recommended_course_list,,,,,,"EOSC_V 470, 474, 475, 478"
ENSC_2024_2025_HONOURS_AOC_ECOLOGY_CONSERVATION_005,ENSC,2024-2025,Honours,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,True,ENVR_V 430,,recommended_course_list,,,,,,ENVR_V 430
ENSC_2024_2025_HONOURS_AOC_ECOLOGY_CONSERVATION_006,ENSC,2024-2025,Honours,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,True,"MRNE_V 415, 425, 437",,recommended_course_list,,,,,,"MRNE_V 415, 425, 437"
ENSC_2024_2025_HONOURS_AOC_ECOLOGY_CONSERVATION_007,ENSC,2024-2025,Honours,,Area of Concentration,ECOLOGY_CONSERVATION,Ecology and Conservation,Ecology and Conservation Area of Concentration,,True,MICB_V 301,,recommended_course_list,,,,,,MICB_V 301
ENSC_2024_2025_HONOURS_AOC_SUSTAINABILITY_SCIENCE_001,ENSC,2024-2025,Honours,,Area of Concentration,SUSTAINABILITY_SCIENCE,Sustainability Science,Sustainability Science Area of Concentration,,False,ASIC_V 220,,required_course,,,,,,ASIC_V 220
ENSC_2024_2025_HONOURS_AOC_SUSTAINABILITY_SCIENCE_002,ENSC,2024-2025,Honours,,Area of Concentration,SUSTAINABILITY_SCIENCE,Sustainability Science,Sustainability Science Area of Concentration,,False,"ENVR_V 309; CONS_V 330, 425; FRST_V 415; GEOG_V 310; LFS_V 450; POLI_V 351; PSYC_V 421; UFOR_V 403 or APBI_V 423, and",,course_list_review,,,,,,"ENVR_V 309; CONS_V 330, 425; FRST_V 415; GEOG_V 310; LFS_V 450; POLI_V 351; PSYC_V 421; UFOR_V 403 or APBI_V 423, and"
