group_id,program,calendar_year,program_type,year_level,requirement_area,option_id,option_name,option_name_raw,theme,is_recommended,label,credits,rule_type,rule_value,rule_subject,include_pattern,exclude_pattern,rule_unit,source_text
ENSC_2024_2025_MAJOR_001,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,BIOL_V 121 1,3.0,required_course,,,,,,BIOL_V 121 1
ENSC_2024_2025_MAJOR_002,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,BIOL_V 180 (or 140) 1,2.0,required_all,,,,,,BIOL_V 180 (or 140) 1
ENSC_2024_2025_MAJOR_003,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,CHEM_V 121 (or 111 or 141) 2,4.0,choose_n,1,,,,,CHEM_V 121 (or 111 or 141) 2
ENSC_2024_2025_MAJOR_004,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,CHEM_V 123 2,4.0,required_course,,,,,,CHEM_V 123 2
ENSC_2024_2025_MAJOR_005,ENSC,2024-2025,Major,First Year,Communication Requirement,,,,,False,Communication Requirement 3,3.0,unknown,,,,,,Communication Requirement 3
ENSC_2024_2025_MAJOR_006,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,DSCI_V 100,3.0,required_course,,,,,,DSCI_V 100
ENSC_2024_2025_MAJOR_007,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,,,,,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4
ENSC_2024_2025_MAJOR_008,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,MATH_V 101 or 103 or 105 or 121 4,3.0,choose_n,1,,,,,MATH_V 101 or 103 or 105 or 121 4
ENSC_2024_2025_MAJOR_009,ENSC,2024-2025,Major,First Year,Core Requirement,,,,,False,PHYS_V 100-level 5,3.0,level_requirement,,PHYS,100-level,PHYS100;PHYS170,credits,"PHYS_V 100-level 5 | Footnote 5: Chosen from 100-level PHYS_V courses, excluding PHYS_V 100 and PHYS_V 170. Students without Physics 12 must replace 3 credits of electives with PHYS_V 100 before taking any other 100-level PHYS_V course. Students may defer taking any other 100-level PHYS_V course to second year."
ENSC_2024_2025_MAJOR_010,ENSC,2024-2025,Major,First Year,Electives,,,,,False,"Electives 6,7",2.0,elective_credits,,,,,,"Electives 6,7"
ENSC_2024_2025_MAJOR_011_TOTAL,ENSC,2024-2025,Major,First Year,Credit Total,,,,,False,Total Credits,30.0,year_total_credits,,,,,,Total Credits
ENSC_2024_2025_MAJOR_012,ENSC,2024-2025,Major,Second Year,Core Requirement,,,,,False,BIOL_V 230,3.0,required_course,,,,,,BIOL_V 230
ENSC_2024_2025_MAJOR_013,ENSC,2024-2025,Major,Second Year,Core Requirement,,,,,False,"Two of CHEM_V 205, 208, 210, 211, 233 8",6.0,choose_n,2,,,,,"Two of CHEM_V 205, 208, 210, 211, 233 8"
ENSC_2024_2025_MAJOR_014,ENSC,2024-2025,Major,Second Year,Communication Requirement,,,,,False,Communication Requirement 3,3.0,unknown,,,,,,Communication Requirement 3
ENSC_2024_2025_MAJOR_015,ENSC,2024-2025,Major,Second Year,Core Requirement,,,,,False,ENVR_V 200,3.0,required_course,,,,,,ENVR_V 200
ENSC_2024_2025_MAJOR_016,ENSC,2024-2025,Major,Second Year,Core Requirement,,,,,False,GEOS_V (or GEOB_V) 200 or ATSC_V 201,3.0,choose_n,1,,,,,GEOS_V (or GEOB_V) 200 or ATSC_V 201
ENSC_2024_2025_MAJOR_017,ENSC,2024-2025,Major,Second Year,Core Requirement,,,,,False,"One of MATH_V 200, 221, STAT_V 200, 201, BIOL_V 300 9",3.0,choose_n,1,,,,,"One of MATH_V 200, 221, STAT_V 200, 201, BIOL_V 300 9"
